,x,x_,ukf_['x'],y,y_,ukf_['y'],rmse,mape,ukf_rmse,past_temporal_horizon,future_temporal_horizon
22,0.08471296,0.31619105,0.1327367107441441,0.07485383,0.27462667,0.09451584721288481,0.079783395,0.29540884,0.11362627897851445,5.0,0.3
23,0.08790194,0.37813094,0.1327367107441441,0.07452584,0.29613945,0.09451584721288481,0.08121389,0.3371352,0.11362627897851445,5.0,0.4
21,0.083288476,0.2792838,0.1327367107441441,0.07998058,0.2702041,0.09451584721288481,0.08163453,0.27474394,0.11362627897851445,5.0,0.2
18,0.09293526,0.37353772,0.1327367107441441,0.0804856,0.31124628,0.09451584721288481,0.08671042,0.342392,0.11362627897851445,4.0,0.3
19,0.100914955,0.64058554,0.1327367107441441,0.08500268,0.32679653,0.09451584721288481,0.09295882,0.48369104,0.11362627897851445,4.0,0.4
17,0.096855804,0.27793902,0.1327367107441441,0.10395631,0.30268797,0.09451584721288481,0.10040606,0.29031348,0.11362627897851445,4.0,0.2
16,0.099029824,0.39405373,0.1327367107441441,0.11051111,0.49162838,0.09451584721288481,0.10477047,0.44284105,0.11362627897851445,4.0,0.1
20,0.08814811,0.3140044,0.1327367107441441,0.14143659,0.38272876,0.09451584721288481,0.11479235,0.34836656,0.11362627897851445,5.0,0.1
15,0.13984282,0.8029988,0.1327367107441441,0.092474364,0.45089456,0.09451584721288481,0.11615859,0.6269467,0.11362627897851445,3.0,0.4
14,0.14247985,0.81007916,0.1327367107441441,0.093078636,0.39206636,0.09451584721288481,0.11777924,0.6010728,0.11362627897851445,3.0,0.3
13,0.13187145,0.6508111,0.1327367107441441,0.11339037,0.4420288,0.09451584721288481,0.12263091,0.5464199,0.11362627897851445,3.0,0.2
12,0.13737193,0.6783539,0.1327367107441441,0.14258951,0.79684657,0.09451584721288481,0.13998072,0.7376002,0.11362627897851445,3.0,0.1
11,0.15556727,0.7451906,0.1327367107441441,0.1341338,0.40739295,0.09451584721288481,0.14485054,0.5762918,0.11362627897851445,2.0,0.4
9,0.15611774,0.68012035,0.1327367107441441,0.13771935,0.5324428,0.09451584721288481,0.14691854,0.6062816,0.11362627897851445,2.0,0.2
8,0.15205713,0.7153251,0.1327367107441441,0.14181297,0.57465386,0.09451584721288481,0.14693505,0.6449895,0.11362627897851445,2.0,0.1
10,0.15372075,0.8932718,0.1327367107441441,0.14416814,0.6658565,0.09451584721288481,0.14894444,0.77956414,0.11362627897851445,2.0,0.3
6,0.18649764,0.5959585,0.1327367107441441,0.23892918,1.5343891,0.09451584721288481,0.21271342,1.0651739,0.11362627897851445,1.0,0.3
4,0.18276371,0.69120973,0.1327367107441441,0.24423032,1.4778949,0.09451584721288481,0.21349701,1.0845523,0.11362627897851445,1.0,0.1
5,0.18572998,0.6373146,0.1327367107441441,0.24443956,1.6838906,0.09451584721288481,0.21508476,1.1606026,0.11362627897851445,1.0,0.2
7,0.1858108,0.82421356,0.1327367107441441,0.2482567,1.6874809,0.09451584721288481,0.21703374,1.2558472,0.11362627897851445,1.0,0.4
0,0.25854346,0.7718725,0.1327367107441441,0.44431335,1.6229707,0.09451584721288481,0.3514284,1.1974216,0.11362627897851445,0.5,0.1
1,0.26071513,0.7192463,0.1327367107441441,0.46679544,1.899818,0.09451584721288481,0.3637553,1.3095322,0.11362627897851445,0.5,0.2
2,0.25381926,0.68774563,0.1327367107441441,0.47370607,2.023094,0.09451584721288481,0.36376268,1.3554198,0.11362627897851445,0.5,0.3
3,0.26412797,0.6255489,0.1327367107441441,0.48454046,1.9863724,0.09451584721288481,0.37433422,1.3059607,0.11362627897851445,0.5,0.4
